token_address,chain,token_name,howmany_suspicious_urls,howmany_suspicious_addresses,howmany_warnings
0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1,bsc,Green Metaverse Token,8,0,0
0x3073f7aaa4db83f95e9fff17424f71d4751a3073,eth,Movement,9,0,0
0x30807d3b851a31d62415b8bb7af7dca59390434a,bsc,RadioShack Token,4,0,0
0x30ae41d5f9988d359c733232c6c693c0e645c77e,eth,Wrapped AyeAyeCoin,3,0,0
0x31471e0791fcdbe82fbf4c44943255e923f1b794,bsc,Plant vs Undead Token,0,0,0
0x3192ccddf1cdce4ff055ebc80f3f0231b86a7e30,bsc,Bsc-Peg INSUR Token,9,0,0
0x31d0a7ada4d4c131eb612db48861211f63e57610,bsc,BSCstarter,8,0,0
0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,bsc,Mobox,7,0,0
0x320ed4c7243e35a00f9ca30a1ae60929d15eae37,eth,The Blox Project,3,0,0
0x3256cade5f8cb1256ac2bd1e2d854dec6d667bdf,eth,Mogutou,5,0,0
0x32b86b99441480a7e5bd3a26c124ec2373e3f015,eth,BAD IDEA AI,2,0,0
0x32d7da6a7cf25ed1b86e1b0ee9a62b0252d46b16,bsc,Ginza,9,0,0
0x32f1518baace69e85b9e5ff844ebd617c52573ac,bsc,Dexsport Protocol Native Token,2,0,0
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,eth,Akita Inu,4,0,0
0x330f4fe5ef44b4d0742fe8bed8ca5e29359870df,bsc,Jade Currency,0,0,0
0x334b3ecb4dca3593bccc3c7ebd1a1c1d1780fbf1,bsc,Venus DAI,1,0,0
0x339c72829ab7dd45c3c52f965e7abe358dd8761e,bsc,Wanaka Farm,3,0,0
0x33e07f5055173cf8febede8b21b12d1e2b523205,eth,Etherland,1,0,0
0x33f391f4c4fe802b70b77ae37670037a92114a7c,eth,Burp,4,0,0
0x347862372f7c8f83d69025234367ac11c5241db3,bsc,Kiirocoin,4,0,0
