token_address,chain,token_name,contract_name,verified,owner,creator,is_hidden_owner,is_proxy,is_sellable,is_hardcoded_owner,has_source_code,has_abi,total_snippets,honeypot_mechanics_number,minting_mechanics_number,ownership_manipulation_number,transfer_blocking_number,stealth_fee_mechanics_number,liquidity_manipulation_number,router_manipulation_number,balance_manipulation_number,anti_analysis_features_number,block_based_restrictions_number,emergency_functions_number
0xf307910a4c7bbc79691fd374889b36d8531b08e3,bsc,Ankr,AnkrBEP20Token,True,0xbc17f9422986306ae22875411a5a7c9556217d45,0x146ee71e057e6b10efb93aedf631fde6cbaed5e2,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf38deb975d9a34bc2b8f678de0c1d53692363851,eth,Metabrawl,Metabrawl,True,0xea18deaf8cec6cbce2720896c941c2cac3942140,0xea18deaf8cec6cbce2720896c941c2cac3942140,False,False,True,False,True,True,3,0,2,0,1,0,0,0,0,0,0,0
0xf39e4b21c84e737df08e2c3b32541d856f508e48,bsc,Yooldo Games,YooldoToken,True,0x1552160b3c36492f17cc9c468a082f9e6cc1f1e3,0x30bce4fd778db6e9168b67857cbd85d48fe02370,False,False,True,False,True,True,4,0,2,0,0,0,0,0,0,0,0,2
0xf3e07812ebc8604fddb0aa35ff79a03f48f48948,bsc,JournArt,JournArt,True,0xf7d9bdc179a8c5b858c78404840508399e066ea9,0xf7d9bdc179a8c5b858c78404840508399e066ea9,False,False,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xf3e66b03d098d0482be9cb3d6999787231a93ed9,eth,PromptIDE,PromptIDE,True,,0x8600b3b96af17188dd4a02452ca158e2203029a8,True,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xf3f3d7f713df0447e9595d9b830a5f00297070e4,bsc,MOTHEREARTH,standardToken,True,0x74e21c79adbcc72388ef5b5ad215adc017114b49,0x74e21c79adbcc72388ef5b5ad215adc017114b49,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf411903cbc70a74d22900a5de66a2dda66507255,eth,VERA,VraToken,True,,0xdeca397eba7c10f48c6cb880c2df94e03b1b1b74,True,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xf4172630a656a47ece8616e75791290446fa41a0,eth,PEPPA,PEPPA,True,0x0000000000000000000000000000000000000000,0x29d8f4fa820320854c3d2ce3e463339fce377f66,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf418588522d5dd018b425e472991e52ebbeeeeee,eth,Ethereum Push Notification Service,EPNS,True,,0x057fcd7bd66e0b0e7cbf387d12b2a49a20d30922,True,False,True,False,True,True,1,0,1,0,0,0,0,0,0,0,0,0
0xf4c0efc13ea4221ad8278fb53727015471dce938,eth,SP500,Sp500,True,,0xf7de83497d0f2c88af6cc1b276be4dfb6a158cf9,True,False,False,False,True,True,1,0,1,0,0,0,0,0,0,0,0,0
0xf4d861575ecc9493420a3f5a14f85b13f0b50eb3,eth,Fractal Protocol Token,FCLToken,True,,0x6a7eb27407a50a4eb9d015ea2b0f2e1bcc724461,True,False,False,False,True,True,3,0,3,0,0,0,0,0,0,0,0,0
0xf4ed363144981d3a65f42e7d0dc54ff9eef559a1,bsc,FaraCrystal,FaraCrystal,True,0x59e61707677382c5a375edf5c1b33f9d8b442222,0x3c7905ba15602c9857742c2860e0624f9b124b83,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf508fcd89b8bd15579dc79a6827cb4686a3592c8,bsc,Venus ETH,VBep20Delegator,True,,0x1ca3ac3686071be692be7f1fbecd668641476d7e,True,True,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,eth,Immutable X,IMXToken,True,,0xe9df50db94a4c0b75d0df9a768a37a935c201d05,True,False,True,False,True,True,4,0,4,0,0,0,0,0,0,0,0,0
