token_address,chain,token_name,total_holders,total_supply,total_circulating_supply,howmany_holders_exceeding_5_percent,total_top_10_balance,top10_percentage_of_total_supply,top10_percentage_of_circulating_supply,top_10_less_than_70_percent_of_total,top_10_less_than_70_percent_of_circulating
0x0bd238620140D0cfE72aeC632c0b3b30217AAD50,bsc,Lanstar,111,9000000000000000000000000,9000649999999999928854711,3,8788141808310397721116672,97.64602009233775,97.63896838906521,False,False
0x0Bd9480e77D83bab78eea7E3C2ca170d0e7Fb567,bsc,World of Trump,53,1342177280000000000000000000,1342177280000000004820293048,3,1255015552404837519507587072,93.50594523585121,93.50594523585121,False,False
0x0C62005d761dF505939AA990664eB2Edba83B38B,bsc,ELON MOON,6,100000000000000,100000000000000,1,100000000000000,100.0,100.0,False,False
0x0CDDD25dbD2B12D67F7f7f3f43CaD80Ae22C48c2,bsc,PAAL AI,33,70000000000000000000000000,69999999999999999607996416,6,55093536179117912299143168,78.70505168445416,78.70505168445416,False,False
0x0ce347f8d02285Ce31A4aD6648e80a5bf32B0AF4,bsc,MooningBNBcake,37,1000000000000000000000000,524959606525658839039577,1,49919206689126096926624,4.99192066891261,9.509151955425004,True,True
0x0d54891b9339697B7F02312C931d965203e2aF28,bsc,Cloud,37,1000000000000000000000000000,1000000000000000019797047376,4,960189890447723330401206272,96.01898904477233,96.01898904477233,False,False
0x0d6bf098b17f2fC919703Ab8B2B57771B18889A7,bsc,ShadowPurple,17,100000000000000000000,100000000000000000000,1,99999999930256795105,99.9999999302568,99.9999999302568,False,False
0x0d71c3Ee529F62aAf754daAb9fBE8d78EdE53691,bsc,One Fifty Nation,20,1000000000000000000000000000000000,999999999999999998915340167806976,7,979607777040323504526228453326848,97.96077770403235,97.96077770403235,False,False
0x0D7486d68e29eb5589c79e7392C16CDF04854663,bsc,GUISE,34,10000000000000000000000000,9999999995496400259032515,1,9978659003083399143882752,99.78659003083399,99.78659007577387,False,False
0x0Da34BF7AD39B298475198017e5543f07a8190BF,bsc,Chanser,149,4000000000000000000000000,4000000000000000006947990,3,3586468041104542761222144,89.66170102761357,89.66170102761357,False,False
0x0DA7B7F5b30bd7d2d14d6d042802c6E03DBE8086,bsc,THETA FINANCE,16,5000000000000000,5000000000000000,2,4999181221064852,99.98362442129704,99.98362442129704,False,False
0x0dB6E4C01fDBDC93C8E33292578d82f65a10E1B2,bsc,METAG,3,1000000000,999933968,1,999867937,99.98679369999999,99.9933964639553,False,False
0x0dd13DA8afd720885D7e672088B040C9A47aB06a,bsc,Unicorn,17,1000000000000000000000000,540717087070200004261041,1,81328364386095099215872,8.13283643860951,15.040834908096112,True,True
0x0De75b997A1d2e2c4C9BD36182984b6F13cc08a9,bsc,Avalanche Unity,21,1000000000000000000000000000,1000000000000000000000000000,1,999998684529146750639905531,99.99986845291467,99.99986845291467,False,False
0x0e0B50419C81cc475A2f3fcDDCE6BD08125999DB,bsc,ELON BUY TWITTER,9,1000000000000000,1000000000000000,2,1000000000000000,100.0,100.0,False,False
0x0E1D50B81C18aB3Ba24D20B7f53cC65939ea43bC,bsc,Setter Protocol,2,1000000000000000,1000000000199370,1,1000000000398740,100.000000039874,100.000000019937,False,False
