token_address,chain,token_name,price_usd,liquidity_usd,market_cap_usd,liquidity_to_market_cap_ratio,token_volume,volume_usd,volume_to_liquidity_ratio,locked_liquidity_percent,locked_95_for_15_days,creator_under_5_percent,creator_percent_of_lp,owner_under_5_percent,owner_percent_of_lp,total_lp_supply,lp_holders_count,error
0xbe884cc778eeba0485703c1D103a0D676aD79a29,bsc,Meta Syber Coin,17446.396121703656,2.7501452062486338e-09,1.7446396121703654e+17,1.57634e-26,0.0,0.0,0.0,0.0,False,False,92.9127,False,92.9127,2.85732914e-10,2,Liquidity pool info could not be retrieved.
0xbE9385116fBbFf5fDbAeA0b52C3003B92bE7F81c,eth,Reaper,5.581435913882519e-22,7.1044560893391825e-15,42526374.96293539,1.6705999736707388e-22,0.0,0.0,0.0,100.0,False,False,62.8205,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xbEb02E0e6D2e403aaCB92cF3F8D6163aFa464180,bsc,Legion Finance,0.044290768119185024,1.5501768841714757e-17,4.429076811918502e+16,3.5e-34,0.0,0.0,0.0,100.0,False,False,92.6017,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xbeDD020D23659A095c16828a92766AfBC03B69dC,bsc,FlokiPad,40279.97300518326,8.055994601036653e-14,4.027997300518326e+19,2e-33,61750306182.0,2487300666072761.0,3.0875153091e+28,100.0,False,False,93.8531,True,0.0,1e-15,1,
0xBF0FB2a6959C3a2C96eb36cc321cF3b53A6cCC92,bsc,BearCoin,167.2620573185158,1.0035723439110947e-15,1.6726205731851578e+17,6e-33,0.0,0.0,0.0,0.0,False,False,86.0497,True,0.0,1e-09,2,Liquidity pool info could not be retrieved.
0xBf31E09fad1f375E65E6c109e3fb36a394c83edC,bsc,Crypto Royal,5537.513840470752,1.1075027680941506e-14,5.537513840470752e+18,2.0000000000000005e-33,0.0,0.0,0.0,100.0,False,False,99.7359,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xBfA40C7C6f814dB85e3D0fCcCc72aD4CF496A1b9,bsc,Marmot,1.66943494634784e-12,1.4830546672718627e-06,166943494634784.0,8.883572675391069e-21,14091652.64415892,2.3525097375953844e-05,15.862596231350787,0.0,False,True,0.0,True,0.0,15.536456916649168,2,
0xbfB9465c32D4b740734f3d2ad8Dc53c150e9C3A0,bsc,BitDoge DeFi,10680.78304105559,2.1361566082111183e-14,1.068078304105559e+17,2e-31,0.0,0.0,0.0,100.0,False,False,91.1115,False,91.1115,1e-15,1,Liquidity pool info could not be retrieved.
0xbFEe826b2c9CcEc437993709e35e581628B5dCC8,bsc,HYPERLAUNCH,5.4645748817054064e-17,0.0036235580340894134,5.1350630929808664e+16,7.056501484942738e-20,0.0,0.0,0.0,99.08,False,True,0.0,True,0.0,6237768.003661962,4,Liquidity pool info could not be retrieved.
0xc0270Eb749a082c857a8D7924052197933ACF146,bsc,CBO,0.012365975787626968,2.8198292282090394e-07,1236597578762696.8,2.2803127522136003e-22,405487620.5798107,5014250.098272409,17782105554871.188,0.0,False,False,59.1294,True,0.0,3.4508648722555e-05,2,
