token_address,chain,token_name,howmany_suspicious_urls,howmany_suspicious_addresses,howmany_warnings,error
0xEfDA828A1f62DD619a62fbE40910C7280e4E681F,bsc,Oscarshus,2,0,0.0,
0xefF61053Da598aBC339aD91ade10e5DD91A88568,bsc,Airpro,7,0,0.0,
0xf024FE77F395fEB6700100782a38cB81b88CC0d1,bsc,FintraDAO,2,0,0.0,
0xF0358F5703285AdFE2eEFb41E4BE1Ae7246917c0,bsc,ValidFinance,0,0,0.0,
0xF03E02AcbC5eb22de027eA4F59235966F5810D4f,bsc,piinu,6,0,0.0,
0xF0498e2Ab8287664d351abDa40e98b0c06Ef13eD,bsc,DecaRewards,0,0,,Security analysis data not available.
0xF050630173c98ce3Af2FF2f2BB7A88d0a9F410AC,bsc,BTCRISE,0,0,,Security analysis data not available.
0xF062542cfe36d8Cdf4C6e93246Ed24Ddb0384422,bsc,Savano Token,0,0,0.0,
0xf086c27A37b086539432C1D286855536f5A192cB,bsc,TOMCoin,2,0,0.0,
0xf09CFCf83F2Db2b86ee691DE9Aa47A9d7557c551,bsc,Trans pepe,2,0,0.0,
0xF09f36065083b3DC1Dd4e54CA0d56ECfD03Fd905,bsc,Michi,2,0,0.0,
0xf0C72f0E5c2deA50B309edaF0b982889FD1ECA98,bsc,BabyJob,7,0,0.0,
0xf0D3c4DaeBE81e0BfBf11a608d24fb49392e8915,bsc,ZENZO,0,0,,Security analysis data not available.
0xf0f37c109D4A98EBd00241a74B53b722D4a7CA8f,bsc,HSR COIN,2,0,0.0,
0xf0F4851316320Dc71Df2c4289Fe446980343e7aC,bsc,Runner Protocol,2,0,0.0,
0xF11746b354aE4671dd6Cac6bD7Bc167DF0C79Be2,bsc,LevelUP - BNB,7,0,0.0,
0xf11aFD1b7f94dbc6Aab98BC92daF9f770a64557e,bsc,TIDAL FINANCE,2,0,0.0,
0xF149687eb69261dAA63a6FB0E20c3428fE1c0Bd5,bsc,Coin Corner,0,0,,Security analysis data not available.
0xf15f157c2dA6FF197AC83f8EBEEE8043507e40a1,bsc,BabyNFT,0,0,,Security analysis data not available.
0xF161E45b418476034F728cb5c1163A33a40A435B,bsc,Only1,0,0,,Security analysis data not available.
0xF16Ac0918117eC1BeD2024Eb68B485AA7854b761,bsc,ShredN,2,0,0.0,
0xf1DAcEc34fBC3264c82A5c07C027B235e0daE717,bsc,LAPIS Coin,0,0,0.0,
0xf1Db20D2C451716e7bA22E9c5B2a07f2444F12f4,bsc,NBZA,0,0,,Security analysis data not available.
0xf1dE006599EE5E4CEd2f2B84a9801C77e924e1f4,bsc,ElonKush,3,0,0.0,
0xF21093C593C9450320151f3B42938fa633EDe339,bsc,Bounced,0,0,0.0,
0xF2217602Cee2B220b11a076bA11AA9b75FC9bDE6,bsc,AeroWave,0,0,,Security analysis data not available.
0xF22a80675dcE1e7AB0aCB069E3F94CDdB8D7f21D,bsc,Balls of Steel,7,0,0.0,
0xf2C171dbb438c1d74a13CC1549023F370fcE382f,bsc,Dragon Floki,0,0,,Security analysis data not available.
0xf2C9591eC5fa8114a6be215889c175daaee2351C,bsc,Bakery Token,2,0,0.0,
0xF2d642E2E723392A2e23Da787A6200D8D8F96296,bsc,APOLLO INU,7,0,0.0,
0xf311874D8D23281F6bBd9d6d2b8c7635B3f5cce0,bsc,Develocity Finance,2,0,0.0,
0xf313E2114eF908922913bF2EFCF47d61b83E9E51,bsc,MoonWeed,9,0,0.0,
0xf32570Bb12dDc662D4855423Fd9bAE2CC7ad53F5,bsc,InfinityGrage,0,0,,Security analysis data not available.
0xF336C45093b1112DAaf336E9aE11AF8C3419df4E,bsc,Element,0,0,,Security analysis data not available.
0xf358fe3047166F935E2B6027b37943f76a8eF221,bsc,ShibaInuMoon,7,0,0.0,
0xF36C7085d17C37D0b0aFa804427c09B6E42e2C3B,bsc,LukeGames,2,0,0.0,
0xf37Cf217Fa58EBE4F8aE947Ae4Abf0b5b0dc9375,bsc,Lucky Merch,1,0,0.0,
0xF3E01F1D59680492cD59b6890DdB2f708E4F2627,bsc,RGAME,2,0,0.0,
0xf4469C0Acf3bc84D0D8158f378Cccf84BDf90a9A,bsc,Synthetify,0,0,,Security analysis data not available.
0xF4628b6b4EFC8F90e2AB8bb2909FfEdd01632398,bsc,CoinNavigator,2,0,0.0,
0xF4685e728FC562FEFea4729Da0E119DDec5FaC79,bsc,LittleBoobies,2,0,0.0,
0xf4871deC85CBF4B7afB5d8935B10bA5C3A14910c,bsc,The Earth Shiba,7,0,0.0,
0xf4982a1F78b837922A0f81677B2381983fA1145F,bsc,SNAKEINU,7,0,0.0,
0xF4A6970EA16f7363b009BD7ebb9DaDCf51beB69E,bsc,Vanligastx,2,0,0.0,
