token_address,chain,token_name,total_holders,total_supply,total_circulating_supply,howmany_holders_exceeding_5_percent_circulating,total_top_10_balance,top10_percentage_of_total_supply,top10_percentage_of_circulating_supply,top_10_less_than_70_percent_of_total,top_10_less_than_70_percent_of_circulating,owner_exceeds_5_percent_circulating,creator_exceeds_5_percent_circulating,owner_is_creator
0xe57D1B88e5b11C95FAD050667B95FDb21aceAe9d,bsc,TheRealJDOGE,65,1000000000000000.0,524779122565794.8,1,49558233263038.42,4.955823326303842,9.443636595284904,True,True,,,True
0xE593E53A35e910f787eEe3358196a53b49732D9e,bsc,FomoNomics,40,1000000000000000.0,1000000000000000.0,0,981852319430067.0,98.1852319430067,98.1852319430067,False,False,,True,False
0xE5a3aE6886D03736570447c91D9855EE14653EE2,bsc,CryptoSoul,2,1000000.0,989597.130360356,0,979194.260720712,97.9194260720712,98.94877730336023,False,False,True,True,True
0xE5b56CB401453Bc4ff0EfA05Be649553C8DCC22f,bsc,Doge Mars,8,6.9e+16,6.9e+16,0,6.9e+16,100.0,100.0,False,False,,True,False
0xe5BBDEd04e42195B58e54375860060e69E553Ed3,bsc,Coinlion,16,100000000000.0,100000000000.0,0,99999748864.40646,99.99974886440647,99.99974886440647,False,False,True,True,True
0xe5f302a5AA259a7C4AF29F0F0951178277f6c07b,eth,May The 4th Be With You,78,420690000000000.06,420690000000000.1,2,408094629015973.56,97.00602082673073,97.00602082673072,False,False,,,True
0xE60cab134DFB46FF7E3588E9664996fc7ae946bA,bsc,Kelon MBY,80,100000000000.0,100000000000.0,0,99999992523.13525,99.99999252313525,99.99999252313525,False,False,True,True,True
0xE6647bc98520039b0c3606579cB1053955bC115d,bsc,SAKURA,41,1000000.0,1000000.0,0,996885.551293,99.6885551293,99.6885551293,False,False,True,True,True
0xe667610676288c8D1A6F9d7CcEFcceD39Ea3C2dd,bsc,Nitro,2,1000000.0,969697.411881891,0,939394.823763782,93.93948237637821,96.87504702530858,False,False,True,True,True
0xE680375aD407C1460Ca803A59A09C5467E8Ea63F,bsc,FAL COIN,37,10000000.0,10000000.000000004,2,9996489.880782105,99.96489880782104,99.96489880782103,False,False,True,True,True
0xe69564382b98f762B395aE8e541Ca83e5Ee92ef6,bsc,JAZ COIN,43,10000000.0,9999999.999999998,2,9962453.78441183,99.6245378441183,99.62453784411832,False,False,True,True,True
0xE6b27C622eDcDeB1101B6959b5C011E3DA1C80bC,bsc,KawaKami,2,1000000000.0,1000000000.0,0,1000000000.0,100.0,100.0,False,False,True,True,True
0xE6c37Ae95b38831f7C677E649b961AB17B055cC5,bsc,Paul v Floyd,200,1000000000000.0,513861313909.07245,0,20817741964.351913,2.0817741964351915,4.051237444980263,True,True,,False,False
0xE6c78F31e481b144df5e6e35dF8Be83F58769670,bsc,CHEEBS,200,100000000000.0,88123413963.02853,1,73683224675.45685,73.68322467545684,83.61367468851134,False,False,False,,False
0xE7121b7Dd1eB75E1c4e7175217422d09bC01e2C8,bsc,CKA Network,44,100000000000.0,100000000000.0,0,99999992438.34914,99.99999243834914,99.99999243834914,False,False,True,True,True
0xe76Ac8686106668aAbF659926B01687F2921CBe4,bsc,PokeMoon,8,10000000000000.0,10000000000000.0,0,10000000000000.0,100.0,100.0,False,False,,True,False
0xE799aF6B7E04A76414D5a905fFB43592951B451F,bsc,Repiws,46,1000000000000.0,997947536066.4697,1,994569646470.7129,99.45696464707129,99.6615163148685,False,False,True,True,True
0xe7a39e210F067CAAd7992E6866BEceB95B4394F7,bsc,HyperLambo,200,1000000000000000.0,524768383706531.9,1,38690800393848.63,3.8690800393848637,7.372929009283805,True,True,,False,False
0xE7aEd160De916E16eB6dFaA0617F6Bd2d7a88173,bsc,WiCrypt,23,1000000.0,1000000.0,0,999324.115743,99.93241157429999,99.93241157429999,False,False,True,True,True
0xE7c5efb946a8f567ad905Ba421CbF5A961F5136f,bsc,Nebulas,26,1000000.0,1000000.0,0,999272.160007,99.9272160007,99.9272160007,False,False,True,True,True
0xE7d11a084d093b0A076376898D522140C6c67661,bsc,Monkey Shiba,19,1000000000.0,990830756.1664633,1,978144228.3389422,97.81442283389423,98.71960698145813,False,False,True,True,True
0xe7D3F15aB917A745548BfBA2a5261Ad36FDB726B,bsc,ATR COIN,39,10000000.0,10000000.000000004,2,9973138.27533054,99.7313827533054,99.73138275330538,False,False,True,True,True
0xe7d6792430851563348eA811efA6F108Da086f39,bsc,Genopets,2,1000000.0,1000000.0000000015,0,1000000.000000003,100.00000000000031,100.00000000000016,False,False,True,True,True
0xE801c2cB1029435DCdbecCD036Bf9E1Ad4b65Fe7,bsc,GANS COIN,35,10000000.0,9999999.999999994,2,9988681.417773254,99.88681417773255,99.8868141777326,False,False,True,True,True
0xE8038A1C3FFBEA1D4C910d12ef1917156265bdF3,bsc,Guardian Musk,13,1000000000000.0,1000000000000.0,2,999998165732.2092,99.99981657322093,99.99981657322093,False,False,True,True,True
0xe80B71A9040a98690C2E1c206b5eeAD1A2c2bD02,bsc,STACKS,26,100000000.0,99999999.99999999,6,91232080.95123374,91.23208095123374,91.23208095123377,False,False,False,False,True
0xe831caE77495861fdED0005Af6199CF1B7A07cAF,bsc,VICE VERSE,38,49999.99999999999,49999.99999999999,5,41358.584611674814,82.71716922334964,82.71716922334964,False,False,,,True
0xE841D708BC85726bD91509Efb9230616A3e45C3d,bsc,SaintGains,9,1000000000000000.0,544053698312144.5,0,88107396624289.02,8.810739662428901,16.194614042259193,True,True,True,True,True
0xE86576b79Ff18604dDDf6614a91C8Fef83292CE9,bsc,Heaven Token,38,50000000.0,49999999.99999999,5,44423799.735267326,88.84759947053465,88.84759947053466,False,False,,,True
0xe8676A25D3BAe7E29b59E0A63C2e485824c6dA83,bsc,Lagerkaos,107,11000000.0,11000000.0,2,10403131.204802325,94.5739200436575,94.5739200436575,False,False,True,True,True
0xE8A146CE639CDE9a16F7FDf3B2313C0b02a89C48,bsc,Mita Joy Token,2,1000000000.0,1000000000.2611865,0,1000000000.522373,100.0000000522373,100.00000002611864,False,False,True,True,True
